appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime
417900,1,0,17,26,1,0,0
417910,1,0,43,956,724,20,27
417920,1,0,0,26,28,0,0
417980,1,0,52,45,9,0,0
417990,1,0,136,335,82,744,744
418030,1,0,0,2680,1130,82,82
418040,1,0,4,488,41,270,539
418050,1,0,0,7,3,0,0
418060,1,0,63,74,35,0,0
418070,1,0,0,3041,310,224,228
418120,1,0,64,349,77,221,221
418150,1,0,121,107,24,4277,4277
418160,1,0,13,48,9,207,215
418170,1,0,0,6,2,0,0
418180,1,0,15,1221,501,102,129
418190,1,0,0,513,31,287,287
418210,1,0,17,65,7,0,0
418240,1,0,44,9523,417,287,218
418250,1,0,0,245,101,0,0
418260,1,0,0,8,8,0,0
418270,1,0,13,71,28,0,0
418280,1,0,0,25,63,0,0
418300,1,0,37,363,66,0,0
418310,1,0,17,15,12,250,250
418340,1,0,37,8844,1830,185,273
418360,1,0,0,67,11,0,0
418370,1,18,58,19022,1718,823,644
418430,1,0,31,6,11,0,0
418440,1,0,0,212,24,0,0
418460,1,0,132,17201,4777,1945,1773
418520,1,0,0,61,1,0,0
418610,1,0,24,62,59,230,240
418620,1,0,0,187,17,0,0
418640,1,0,0,17,8,401,401
418650,1,0,10,1909,84,113,113
418670,1,0,56,198,43,51,51
418910,1,0,17,88,69,0,0
418940,1,0,0,9,3,0,0
418950,1,0,10,412,102,118,159
418960,1,0,0,5,14,319,331
419000,1,0,0,3,1,0,0
419020,1,0,16,18,6,0,0
419080,1,0,10,63,28,0,0
419090,1,0,36,45,10,0,0
419130,1,0,11,16,1,0,0
419460,1,0,0,996,110,0,0
419480,1,0,54,1830,628,0,0
419500,1,0,19,58,3,288,303
419590,1,0,29,31,14,0,0
419700,1,0,20,15,6,0,0
419710,1,0,26,12,0,0,0
419810,1,0,30,35,4,0,0
419990,1,0,18,20,2,0,0
420000,1,0,0,464,147,0,0
420020,1,0,0,38,2,0,0
420060,1,0,23,322,52,0,0
420070,1,0,27,60,28,0,0
420100,1,0,0,130,13,0,0
420110,1,0,20,8671,238,586,602
420160,1,0,26,8,4,0,0
420170,1,0,0,11,2,0,0
420180,1,0,42,78,15,0,0
420210,1,0,0,34,68,0,0
420270,1,0,19,68,45,0,0
420290,1,0,0,9352,1367,396,488
420300,1,0,0,7,14,342,352
420360,1,0,17,44,9,0,0
420370,1,0,21,5,2,0,0
420380,1,0,22,16,4,0,0
420440,1,0,0,523,101,0,0
420500,1,0,22,13,4,0,0
420520,1,0,0,257,28,0,0
420530,1,0,11,10985,220,327,469
420550,1,0,8,88,25,0,0
420570,1,0,18,26,3,0,0
420660,1,0,12,84,10,99,99
420670,1,0,33,26,46,0,0
420740,1,0,17,1378,137,241,222
420770,1,0,23,134,39,0,0
420790,1,0,84,728,221,54,98
420840,1,0,0,164,9,0,0
420850,1,0,18,82,30,0,0
420880,1,0,0,62,160,0,0
420900,1,0,18,10,3,0,0
420920,1,0,0,26,17,0,0
420930,1,0,21,406,100,0,0
420950,1,18,0,70,27,0,0
420970,1,0,0,48,45,344,354
420980,1,0,30,167,14,0,0
421020,1,0,48,3779,1923,873,1366
421030,1,0,24,481,126,273,273
421040,1,0,29,3709,485,365,405
421050,1,0,36,1868,270,247,247
421110,1,0,0,16,22,0,0
421120,1,0,30,1888,98,515,515
421140,1,0,20,11,6,0,0
421180,1,0,32,7,3,0,0
421260,1,0,14,107,3,0,0
421600,1,0,42,40,31,0,0
421610,1,0,39,42,6,0,0
421620,1,0,6,4,3,0,0
421630,1,0,57,128,4,0,0
421660,1,0,14,342,8,219,219
421670,1,0,67,865,129,0,0
421700,1,0,0,478,78,647,817
421710,1,0,0,34,6,0,0
421740,1,0,16,223,51,0,0
421810,1,0,8,252,82,0,0
421870,1,0,12,16,3,0,0
421880,1,0,0,58,27,0,0
421890,1,0,20,25,18,0,0
422010,1,0,0,1,0,0,0
422020,1,0,0,33,12,0,0
422030,1,0,0,9,5,0,0
422100,1,0,0,362,316,216,218
422110,1,0,28,149,9,225,225
422130,1,0,0,48,53,0,0
422140,1,0,0,28,28,0,0
422210,1,0,0,18,12,0,0
422250,1,0,9,324,238,249,288
422270,1,0,20,8,18,0,0
422300,1,0,0,16,5,0,0
422420,1,0,0,91,440,0,0
422500,1,0,0,71,23,0,0
422510,1,0,29,74,5,0,0
422590,1,0,8,13,33,0,0
422610,1,0,10,29,23,449,449
422630,1,0,0,158,80,0,0
422640,1,0,0,17,29,0,0
422650,1,0,41,65,17,0,0
422760,1,0,0,63,11,0,0
422810,1,0,48,1285,425,8,8
422860,1,0,9,161,22,0,0
422870,1,0,1002,1000,441,157,168
422900,1,0,20,470,40,0,0
422910,1,0,39,133,8,0,0
422920,1,0,33,67,7,0,0
422940,1,0,0,72,51,0,0
422970,1,0,1,4462,222,216,399
422980,1,0,31,24,5,0,0
423120,1,0,46,206,26,0,0
423180,1,0,0,4,14,0,0
423220,1,0,15,20,2,0,0
423230,1,0,33,4199,474,535,682
423270,1,0,23,29,9,0,0
423320,1,0,29,71,15,0,0
423440,1,0,25,35,2,0,0
423490,1,0,11,286,75,0,0
423550,1,0,12,80,28,0,0
423580,1,0,88,1724,400,224,351
423590,1,0,27,369,52,150,150
423600,1,0,0,18,3,0,0
423610,1,16,24,120,33,0,0
423620,1,0,33,351,97,0,0
423650,1,0,7,50,28,0,0
423700,1,0,14,26,41,0,0
423710,1,0,15,115,151,237,239
423720,1,0,23,13,1,0,0
423730,1,0,2,10,1,0,0
423740,1,0,11,28,10,0,0
423750,1,0,0,24,9,0,0
423760,1,0,0,69,43,0,0
423770,1,0,0,101,43,0,0
423780,1,0,0,6,2,0,0
423800,1,0,21,34,14,0,0
423810,1,0,34,381,160,0,0
423870,1,0,9,31,8,0,0
423880,1,0,1,6791,793,10,11
423890,1,0,0,419,183,1,1
423900,1,0,0,98,90,0,0
423950,1,18,32,470,217,0,0
424000,1,0,0,56,85,400,402
424010,1,0,28,18,2,0,0
424030,1,0,0,1212,319,0,0
424040,1,0,0,21,2,0,0
424060,1,0,11,8,12,0,0
424100,1,0,0,7,3,0,0
424170,1,0,0,39,9,0,0
424200,1,0,0,15,0,0,0
424210,1,0,34,12,3,0,0
424250,1,0,42,288,76,0,0
424260,1,0,9,42,28,0,0
424280,1,0,37,13889,277,10647,76
424310,1,0,0,1,0,0,0
424320,1,0,0,25,3,0,0
424370,1,0,0,2787,1306,2766,4436
424610,1,0,19,1,0,0,0
424640,1,0,46,41,6,161,161
424750,1,0,10,9,2,0,0
424760,1,0,36,34,12,0,0
424780,1,0,30,89,101,0,0
424830,1,0,15,97,309,183,205
424840,1,0,22,7568,980,90,90
424850,1,0,24,10,10,0,0
424870,1,0,0,11,6,0,0
425010,1,0,0,2,1,0,0
425040,1,0,21,16,0,0,0
425070,1,0,10,40,7,0,0
425150,1,0,20,65,18,0,0
425160,1,0,20,66,6,0,0
425210,1,0,48,587,179,80,80
425220,1,0,50,1504,496,453,595
425230,1,0,0,15,12,25,25
425240,1,0,24,84,24,0,0
425260,1,0,0,11,2,0,0
425300,1,0,39,60,21,0,0
425340,1,0,0,77,13,162,162
425400,1,0,0,3,0,0,0
425410,1,0,21,281,36,5,5
425450,1,0,63,17,7,0,0
425460,1,0,0,25,14,0,0
425580,1,0,7,7382,176,181,279
425600,1,0,13,80,10,0,0
425650,1,0,38,112,7,0,0
425670,1,0,30,378,70,0,0
425720,1,0,28,230,43,0,0
425760,1,0,52,4,2,0,0
425770,1,0,0,136,5,0,0
425820,1,0,17,59,14,0,0
425860,1,0,35,5,4,0,0
425870,1,0,0,8,5,0,0
425900,1,0,13,20,3,0,0
425990,1,0,0,3,0,0,0
426000,1,18,16,3214,645,183,237
426010,1,0,47,17,33,0,0
426040,1,0,0,29,18,226,226
426050,1,0,25,12,1,0,0
426170,1,0,25,28,12,0,0
426190,1,0,70,96,26,0,0
426210,1,0,0,24,23,0,0
426240,1,0,0,18,2,0,0
426290,1,0,21,52,14,0,0
426310,1,0,33,188,71,0,0
426330,1,0,21,130,16,0,0
426590,1,0,42,34,39,0,0
426630,1,0,0,231,94,0,0
426690,1,0,0,327,6,157,157
426790,1,0,18,941,118,323,323
426930,1,0,0,80,14,0,0
427040,1,0,0,4,22,0,0
427050,1,0,18,8,4,0,0
427100,1,0,79,1534,1348,0,0
427190,1,0,50,1595,190,166,166
427240,1,0,7,368,45,0,0
427250,1,0,29,1370,335,0,0
427290,1,0,28,4580,1717,794,1154
427470,1,0,42,189,76,1505,1505
427480,1,0,0,26,21,0,0
427490,1,0,19,302,58,0,0
427510,1,0,50,206,59,815,815
427520,1,0,38,47918,723,10087,6880
427550,1,0,18,88,47,153,153
427570,1,0,34,89,79,1500,1500
427610,1,0,20,4,5,0,0
427640,1,0,0,20,5,0,0
427660,1,0,16,128,87,0,0
427680,1,0,22,108,11,0,0
427700,1,0,23,195,5,0,0
427730,1,0,0,9751,3747,103,70
427760,1,0,11,466,66,0,0
427770,1,0,9,44,3,0,0
427780,1,0,37,250,66,96,96
427810,1,0,8,249,74,0,0
427820,1,7,26,782,152,210,210
427860,1,0,37,62,25,0,0
427880,1,0,0,370,151,0,0
